index,time_abs,time_delta,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,t,j1_vel,j1_acc,j1_jerk,j2_vel,j2_acc,j2_jerk,j3_vel,j3_acc,j3_jerk,j4_vel,j4_acc,j4_jerk,j5_vel,j5_acc,j5_jerk,j6_vel,j6_acc,j6_jerk
15,2.121,-0.045,-3.405346810151176,0.05843362335677015,1.2461301793389112,1.3515829727444089,0.7363195048313678,-2.4756971840763966,2.121,17.02258545601245,1480.6748933898646,-919.5540356315469,3.0241584393131533,-146.66899885643815,7101.368997319289,13.01516140489099,-968.2027040456693,16221.791581346239,-102.28883303532315,1669.1858849901992,-113534.4244069262,-54.00346786751139,521.8939461502232,-78760.31062505515,-62.36817726718209,1772.502191259186,-81850.23200920621
14,2.136,-0.018,-3.096720238521019,0.10946705068508435,1.473110248560774,-0.41915827315895815,-0.18195057452040886,-3.549633179413547,2.136,44.78913509685246,1306.6876509856982,-22364.47113768142,-0.05335815300325586,-181.46172083492635,-401.7027440382942,-3.4764115928599386,-947.3948731961403,7681.211889537202,-70.68071771773504,2365.9759563665466,24864.644837536347,-39.89546987370319,1099.5546669629882,23862.447385313902,-28.885344564609692,2173.3995800841617,7405.98120807349
10,2.169,0.082,0.13925982101662757,-0.14316935854109483,0.0074176493209759005,0.6873455660204069,0.04951499087907913,-1.4020753480046046,2.169,48.38525077927807,-212.9022479172888,-6897.425313625074,-4.320535566360193,-55.48475622949048,1680.443022142505,-23.702096893258595,-236.96879897273809,14834.519665956066,26.183065137446683,1619.2185057489087,-11377.821089246527,7.934792667557032,823.5512221183889,21521.92038870282,38.568740811828626,1015.1278337438731,-11890.944071335536
16,2.236,-0.044,-3.3761998116428713,0.021031217486531674,1.2369497474734212,1.4421481076303946,0.706387108159665,-2.423965625047285,2.236,-9.664014889153066,4650.659110515277,17784.138697897186,2.004239278652722,-233.59737507071839,-2119.493179601238,11.55896817617922,-153.58068974039588,-8937.511648928947,-44.351654436317546,2387.4076269520206,39238.228879632894,-22.021932160121953,6330.875429510162,30983.199435889605,-33.38408307619982,3375.453026718442,32281.312025238818
15,2.264,-0.019,-3.1459036168422196,0.07192501847468633,1.4811213098274278,-0.45050438652477637,-0.2826386190679617,-3.5708912897028386,2.264,185.1123475434743,4507.299140305469,-258856.69630276703,-8.374541666678653,-286.6372016015732,11029.357789483489,-0.6967292040772008,-522.9769035319393,40322.714674108094,62.750819927952826,3811.0603068149776,-19884.074437009986,234.55518775793948,6599.1052412430945,-159573.25764974556,113.1929390556694,4244.8405245678405,-113862.73069266404
8,2.268,0.24,-2.3043756647006335,0.03260275042725408,1.4729531689280946,-0.12501793432035382,0.8097978663403291,-3.0300312078023155,2.268,201.74211580869456,3326.8799565991394,-278297.71762815915,-9.473071303687242,-235.1348348388147,12238.27797332403,-2.837364490013893,-331.1057953525149,44377.22008783159,77.98704511901983,3691.107544493482,-32614.91646518868,259.4862582501923,5864.153414196643,-179687.78729836352,129.60655651222706,3706.5825822615907,-129751.2018256928
11,2.347,0.092,0.15289084247470328,-0.1579872038905267,0.00788888821901437,0.7551865140454265,0.0541401133968641,-1.541719141456671,2.347,-831.3188992886465,7564.6041790894815,481204.7050575686,33.5773672224478,-262.67960246589155,-19823.199504025775,289.37901169905746,-2427.471900611272,-159354.15403548244,185.55499883939638,-2983.8199180385272,-89046.19919466344,147.62405858769492,-2011.9048773396644,-46852.96660944726,-196.71460466397735,966.1636103259589,125964.55668720716
17,2.351,-0.043,-3.3470528131345656,-0.016388641676226754,1.2277693156079312,1.5327306958089002,0.6764721647804822,-2.372234066018173,2.351,-796.8799608732137,9576.017961606718,465021.0654662256,32.363079827816556,-345.9166094054133,-19323.869169198653,278.42833151507125,-3091.7883393804586,-154200.6201141711,172.73963013729082,-3340.926931830728,-80481.76305931332,139.45574486741532,-2188.6141668073783,-40554.7877293393,-191.81768465909857,1502.5592354410114,125300.96001700991
16,2.392,-0.019,-3.195104448455939,0.03438298626428829,1.489149824386602,-0.48185049989059453,-0.3833266636155146,-3.5921668532846494,2.392,1.8173566464823132,12742.823882186267,-20090.213146954273,0.38511313801379915,-513.9632221147912,263.63778381714747,2.8467968058794364,-4422.078518854204,4140.778614498579,-21.84824290466925,-2944.5845063959123,16680.499855459017,-11.859079335616054,-2328.9902822634344,7434.060356978114,-13.244895324505405,2942.561679636674,3482.9579429965997
18,2.467,-0.043,-3.3179232679187805,-0.053791047546465236,1.2185888837424408,1.623295830694886,0.6465572214012995,-2.3205025069890612,2.467,33.163500446325656,-2117.0585287469494,-72731.30462640713,-1.6699842434287466,104.30078382086349,2539.9431340568253,-13.3395654404535,908.0214165006619,23603.602895170457,4.45960506059389,-731.313741749033,28608.176782330684,0.2736110026869636,-281.78922409899116,19297.434048142837,13.6080559659835,-1136.9401944464764,-9639.51210253171
